Name,Price ($),Cores,Score,Thread Mark,TDP,Socket,Power Efficiency (Score/W),Price Efficiency (Score/$),Average Efficiency,URL,Power Efficiency (FPS/W)
AMD Ryzen 5 3400G,48.99,4,9267,2334,65,AM4,142.5692,189.1611,165.8651,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-3400G-Quad-Core-Processor-YD340BC5M4MFH-/305690958464,142.5692
Intel Core i5-8400 @ 2.80GHz,39.99,6,9232,2382,65,FCLGA1151-2,142.0308,230.8577,186.4443,https://www.ebay.com/itm/Intel-Core-i5-8400-2-80GHz-Six-Core-9MB-LGA-1151-CPU-Processor-SR3QT-Used-/365023789664,142.0308
AMD Ryzen 5 PRO 1500,469.00,4,9106,2134,65,AM4,140.0923,19.4158,79.7540,https://www.ebay.com/itm/Gaming-Computer-AMD-Ryzen-5-5600X-3-7GHz-Processor-NVIDIA-RTX-3060-12GB-GDDR6-/256573518796,140.0923
AMD Ryzen 5 1500X,26.00,4,9099,2113,65,AM4,139.9846,349.9615,244.9731,https://www.ebay.com/itm/AMD-CPU-Ryzen-5-1500X-3-5GHZ-Socket-AM4-/176358179385,139.9846
AMD Ryzen 5 PRO 3400G,93.89,4,9091,2303,65,AM4,139.8615,96.8261,118.3438,https://www.ebay.com/itm/Msi-Motherboard-A520M-A-Pro-Ryzen-5000-Series-Am4-Compatible-Micro-Atx-Amd-A520-/266876908410,139.8615
Intel Core i9-9900B @ 3.10GHz,10000000,8,9060,2018,65,FCLGA1151,139.3846,0.0009,69.6928,,139.3846
AMD Ryzen 5 3350G,10000000,4,8989,2263,65,AM4,138.2923,0.0009,69.1466,,138.2923
Intel Core i7-6700K @ 4.00GHz,53.99,4,8929,2504,95,LGA1151,93.9895,165.3825,129.6860,https://www.ebay.com/itm/Intel-Core-I7-6700K-SR2L0-4-00-GHz-CPU-Processor-/126581408031,93.9895
AMD Ryzen 5 3400GE,45.00,4,8907,2295,35,AM4,254.4857,197.9333,226.2095,https://www.ebay.com/itm/AMD-Ryzen-series-R3-2200G-R5-2400G-R3-3200G-R5-3400G-R5-3400GE-slot-AM4-CPU-/393475505046?var=0,254.4857
AMD Ryzen 5 2400G,32.99,4,8729,2147,65,AM4,134.2923,264.5953,199.4438,https://www.ebay.com/itm/AMD-Ryzen-5-PRO-2400G-3-6GHz-Quad-Core-AM4-4MB-65W-Processor-YD240BC5M4MFB-/266782663904,134.2923
