Module,Score,Price ($),Price Efficiency (Score/$),URL
A-DATA Technology AX5U6400C3216G-BLABK 16GB,34851,,,
Gloway International Co. Ltd. VGM5UH68C38AG-DABYSN 16GB,34831,,,
Corsair CMH32GX5M2E6000Z36 16GB,34789,,,
Corsair CMH32GX5M2D6000Z36 16GB,34723,,,
Corsair CMK32GX5M2B5600Z36 16GB,34698,,,
G Skill Intl F5-5600J4040D24G 24GB,34659,,,
Corsair CMH64GX5M2B5600Z36 32GB,34626,,,
Corsair CMK64GX5M2B6000Z40 32GB,34542,,,
Corsair CMH32GX5M2B5600Z40 16GB,34443,,,
A-DATA Technology AX5U6000C3016G-DTLABBK 16GB,34434,,,
Corsair CMT64GX5M2B5200Z40 32GB,34418,,,
Corsair CMK32GX5M2B6000Z30 16GB,34374,,,
A-DATA Technology AD5S560016G-SFW 16GB,34341,,,
Corsair CMH64GX5M2B6000C38 32GB,34320,,,
A-DATA Technology AX5U6000C4016G-DCLARWH 16GB,34313,,,
A-DATA Technology AD5S560032G-B 32GB,34312,,,
A-DATA Technology AX5U6400C3216G-DTLABWH 16GB,34241,,,
A-DATA Technology AX5U6000C3016G-BLARWH 16GB,34179,,,
Crucial Technology CT32G52C42U5.C16B2 32GB,34120,,,
Corsair CMT64GX5M2B6000Z30 32GB,34080,,,
G Skill Intl F5-6000J3238F16G 16GB,33916,,,
Mushkin MRX5U560DDDH32G 32GB,33891,,,
Corsair CMH32GX5M2B5600Z36 16GB,33837,,,
Patriot Memory (PDP Systems) 6600 C34 Series 16GB,33804,,,
Team Group Inc. UD5-6200 16GB,33771,,,
Corsair CMK32GX5M2E6000Z36 16GB,33759,,,
Apacer Technology GD2.42312H.004 16GB,33683,,,
A-DATA Technology AX5U6000C3016G-BLABRBK 16GB,33627,,,
Essencore Limited KD5AGUA80-56G460A 16GB,33508,,,
Crucial Technology CT16G56C46U5.C8B2 16GB,33499,,,
A-DATA Technology AX5U6400C3216G-DCLARBK 16GB,33478,,,
Lexar Co Limited LD5EU016G-6400WA 16GB,33458,,,
G Skill Intl F5-5200J3636D32G 32GB,33377,,,
Wilk Elektronik S.A. IR-6000D564L30/32G 32GB,33334,,,
Corsair CMH64GX5M2B5200Z40 32GB,33238,,,
Samsung M323R2GA3PB0-CWMOL 16GB,33137,,,
Kingston KF552C36-32 32GB,33134,,,
Kingston KF552C36-8 8GB,33086,,,
Corsair CMH32GX5M2X6400C38 16GB,33042,,,
Mushkin MRX5U600DDDP32G 32GB,33040,,,
G Skill Intl F5-6000J3238G32G 32GB,33008,,,
Apacer Technology GD2.47312H.004 16GB,32935,,,
A-DATA Technology AX5U5600C3616G-DCLABK 16GB,32746,,,
A-DATA Technology AX5U6000C3016G-DCLABK 16GB,32704,,,
A-DATA Technology AX5U6000C3016G-BLAWH 16GB,32690,,,
Corsair CMT64GX5M2B5600Z40 32GB,32638,,,
Corsair CMT64GX5M4B5600C36 16GB,32574,,,
A-DATA Technology AX5U6000C3016G-DTLABRBK 16GB,32545,,,
Kingston 9905792-115.A00G 8GB,32529,,,
Patriot Memory (PDP Systems) PSD516G480081 16GB,32517,,,
Micron Technology MTC16C2085S1UC48BA1 CF 32GB,32429,,,
G Skill Intl F5-6400J3648G24G 24GB,32417,,,
G Skill Intl F5-5200J3636C16G 16GB,32385,,,
Patriot Memory (PDP Systems) 5200 C36 Series 8GB,32300,,,
A-DATA Technology AX5U5600C3616G-BLARBK 16GB,32237,,,
Corsair CMP32GX5M2B6000C30 16GB,32222,,,
Corsair CMH32GX5M2X6600C32 16GB,32205,,,
Crucial Technology CT16G56C46S5.C8D 16GB,32179,,,
A-DATA Technology AX5U6000C4016G-CLARBK 16GB,32170,,,
G Skill Intl F5-5600J3036D16G 16GB,32086,,,
Corsair CMK64GX5M4B6600C32 16GB,32000,,,
Crucial Technology CP16G60C36U5B.M8D1 16GB,31945,,,
Corsair CMK48GX5M2E6000C36 24GB,31942,,,
Corsair CMK96GX5M2B6000C30 48GB,31921,,,
A-DATA Technology AX5U6000C3032G-BLARBK 32GB,31917,,,
