Module,Score,Price ($),Price Efficiency (Score/$),URL
Corsair CMK32GX5M2B5200C40 16GB,24268,,,
Corsair CMP32GX5M2X6600C32 16GB,24246,,,
Corsair CMK32GX5M2X7200C34 16GB,24245,,,
A-DATA Technology AX5U6400C3216G-CLARBK 16GB,24189,,,
Corsair CMH48GX5M2B7000C36 24GB,24154,,,
A-DATA Technology AX5U6400C3216G-BLABBK 16GB,24131,,,
Crucial Technology CP16G56C46U5.M8G1 16GB,24125,,,
Corsair CMP48GX5M2X7200C36 24GB,24105,,,
Crucial Technology CP16G56C46U5.M8B2 16GB,24085,,,
Micron Technology MTC8C1084S1SC48BA1 BF 16GB,24085,,,
Corsair CMT32GX5M2D6000C36 16GB,24065,,,
G Skill Intl F5-6800J3446F48G 48GB,24060,,,
Corsair CMP96GX5M2B6600C32 48GB,24025,,,
Essencore Limited KD5AGUA80-70B360S 16GB,24024,,,
Corsair CMK5X32G2A48C40A2 32GB,24013,,,
Corsair CMK48GX5M2B5600C40 24GB,23934,,,
Kingston 9905790-059.A00G 16GB,23914,,,
Corsair CMK64GX5M4B6000C36 16GB,23894,,,
Corsair CMH64GX5M2B6000C40 32GB,23854,,,
Team Group Inc. UD5-7600 16GB,23821,,,
Corsair CMH5X16G1B60C40A2 16GB,23780,,,
Corsair CMT5S32G3B56Z40A2 32GB,23775,,,
Crucial Technology CP24G60C48U5.M8BR 24GB,23768,,,
Corsair CMH64GX5M2B5600C36 32GB,23754,,,
Team Group Inc. UD5-7000 16GB,23720,,,
Corsair CMK16GX5M2B5200C40 8GB,23679,,,
Corsair CMK32GX5M2X5600C32 16GB,23670,,,
Corsair CMP48GX5M2X8000C38 24GB,23645,,,
Crucial Technology CP16G60C48U5.M8B2R 16GB,23641,,,
Team Group Inc. SD5-4800 16GB,23636,,,
Corsair CMK64GX5M2B6200C32 32GB,23608,,,
SK Hynix HMCG88AEBSA095N 32GB,23586,,,
Corsair CMH64GX5M2Y6400C32 32GB,23572,,,
Crucial Technology CP32G56C46U5.M16B2 32GB,23563,,,
SK Hynix HMCG66AGBSA092N 8GB,23544,,,
Patriot Memory (PDP Systems) 6200 C42 Series 32GB,23499,,,
Corsair CMT32GX5M2B5600C36 16GB,23494,,,
Patriot Memory (PDP Systems) 7800 C38 Series 16GB,23472,,,
Corsair CMH64GX5M4B6200C32 16GB,23428,,,
Kingston KF556C40-16 16GB,23428,,,
Crucial Technology CT8G56C46U5.M4G1 8GB,23415,,,
Corsair CMH64GX5M4B6600C32 16GB,23397,,,
Samsung M425R2GA3BB0-CWMOD 16GB,23391,,,
Crucial Technology CT32G48C40U5.C16A1 32GB,23352,,,
Kingston 9905789-057.A00G 32GB,23338,,,
Corsair CMH48GX5M2E6000C36 24GB,23334,,,
Corsair CMT64GX5M4B6400C32 16GB,23310,,,
Samsung M425R1GB4PB0-CWMOL 8GB,23291,,,
Crucial Technology CT32G52C42S5.M16GB 32GB,23143,,,
Team Group Inc. TEAMGROUP-UD5-4800 16GB,23142,,,
Crucial Technology CP48G56C46U5.C16B 48GB,23055,,,
Corsair CMK192GX5M4B5200C38 48GB,23045,,,
Corsair CMK96GX5M2B6600C32 48GB,23029,,,
Corsair CMP48GX5M2B7000C36 24GB,23020,,,
Kingston HP56S46BS8HA-16 16GB,23015,,,
A-DATA Technology AM2V48UCSV1-BK2S 16GB,23014,,,
Crucial Technology CT16G48C40U5.C8A1 16GB,23007,,,
Corsair CMT32GX5M2B5200C40 16GB,22972,,,
Corsair CMP5S32G3B60C30A2 32GB,22967,,,
Corsair CMH64GX5M2B6200C32 32GB,22902,,,
G Skill Intl F5-7200J3646F24G 24GB,22864,,,
Mushkin MRA5S560LKKD48G 48GB,22848,,,
Patriot Memory (PDP Systems) PSD58G480041 8GB,22776,,,
Lexar Co Limited LD5AU016G-5600GA 16GB,22746,,,
Micron Technology MTC8C1084S1UC48BA1 16GB,22713,,,
Colorful Technology Ltd CV16G6600D5VP34S 16GB,22712,,,
Corsair CMH96GX5M2B6600C32 48GB,22701,,,
V-Color Technology Inc. TMXPL1660836WWK 16GB,22675,,,
Corsair CMK32GX5M1B5200C40 32GB,22606,,,
Corsair CMP32GX5M2X7000C34 16GB,22569,,,
SK Hynix HMCG78AGBSA092N 16GB,22555,,,
Corsair CMP64GX5M4B6000C36 16GB,22508,,,
Micron Technology MTC8C1084S1SC48BA1 BC 16GB,22502,,,
Crucial Technology CT16G56C46U5.M8G1 16GB,22494,,,
Kingston HP52U40S6MA-8FRAE 8GB,22484,,,
A-DATA Technology AX5U7200C3416G-BLARBK 16GB,22448,,,
G Skill Intl F5-5600J4040C16G 16GB,22360,,,
A-DATA Technology AX5U5200C3816G-BLARBK 16GB,22296,,,
Crucial Technology CT8G48C40U5.M4A1 8GB,22287,,,
Corsair CMK64GX5M2A4800C40 32GB,22276,,,
Corsair CMH5X32G2B60C40A2 32GB,22269,,,
Kingston KF564C32-48 48GB,22268,,,
Kingston HP52U40S8MA-16FRAE 16GB,22259,,,
Corsair CMK96GX5M2B5200C38 48GB,22197,,,
Crucial Technology CT16G52C42S5.M8G1 16GB,22173,,,
Crucial Technology CT32G48C40U5.M16A1 32GB,22171,,,
Corsair CMH96GX5M4B6000C30 24GB,22157,,,
SK Hynix HMCG88MEBEA081N 32GB,22154,,,
A-DATA Technology AX5U6400C3216G-DWROG 16GB,22118,,,
A-DATA Technology AX5U5600C3632G-BLABK 32GB,22079,,,
A-DATA Technology AD5U480032G-B 32GB,22064,,,
Corsair CMT64GX5M2B6600C32 32GB,22032,,,
A-DATA Technology AX5U5600C3632G-BLARBK 32GB,22029,,,
A-DATA Technology AD5U480016G-B 16GB,21981,,,
Kingston KF548S38-16 16GB,21973,,,
Kingston XF1R8M-HYM-A 32GB,21944,,,
Corsair CMK64GX5M4B5600C36 16GB,21924,,,
Corsair CMK5X32G2B60C40A2 32GB,21917,,,
G Skill Intl F5-4800S3838A32G 32GB,21906,,,
SK Hynix HMCG88AGBUA081N 32GB,21896,,,
SK Hynix HMCG78AGBSA095N 16GB,21882,,,
Crucial Technology CT16G48C40U5.M8A1 16GB,21880,,,
Samsung M323R1GB4DB0-CWMOD 8GB,21852,,,
A-DATA Technology AX5U5200C3816G-B 16GB,21851,,,
Samsung M425R1GB4BB0-CWMOL 8GB,21761,,,
Kingston 9905782-147.A00G 32GB,21724,,,
Corsair CMH128GX5M4B5600C40 32GB,21701,,,
Corsair CMH32GX5M2X6400C32 16GB,21664,,,
Corsair CMSX32GX5M2A5600C48 16GB,21632,,,
G Skill Intl F5-6800J3446F24G 24GB,21632,,,
Apacer Technology GD2.42312H.002 16GB,21583,,,
Asgard VAM5UH64C32AG-DGURBM 16GB,21581,,,
Kingston CBD48S40BD8MA-32 32GB,21563,,,
Micron Technology MTC8C1084S1SC56BD1 16GB,21551,,,
Corsair CMT64GX5M2B6800C40 32GB,21459,,,
Corsair CMSX32GX5M1A4800C40 32GB,21458,,,
Essencore Limited KD5AGUA80-64A320H 16GB,21457,,,
Micron Technology MTC16C2085S1SC56BD1 32GB,21439,,,
Crucial Technology CT16G52C42S5.M8GB 16GB,21370,,,
Crucial Technology CP24G56C46U5.M8B1 24GB,21329,,,
Kingston 9905782-074.A01G 32GB,21322,,,
Samsung M323R4GA3BB0-CQKOL 32GB,21294,,,
Crucial Technology CT32G56C46S5.M16D1 32GB,21273,,,
Golden Empire CL42-42-42 D5-5200 16GB,21266,,,
GIGA - BYTE Technology Co Ltd GP-ARS32G52D5 16GB,21263,,,
V-Color Technology Inc. TL51656840-E6PGAWK 16GB,21230,,,
Kingston KF548C38-16 16GB,21216,,,
A-DATA Technology AX5U5200C388G-BLABK 8GB,21204,,,
ACPI Digital Co. Ltd. 7D500309 16GB,21193,,,
Micron Technology MTC4C10163S1SC48BA1 BC 8GB,21178,,,
Corsair CMK64GX5M2B5600C36 32GB,21120,,,
Corsair CMH32GX5M2X7600C36 16GB,21119,,,
SK Hynix HMCG88AGBSA092N 32GB,21118,,,
Corsair CMSX32GX5M2A4800C40 16GB,21118,,,
Corsair CMH48GX5M2B7000C40 24GB,21098,,,
Avant Technology AVJ642GU44K6560P03-HYM7 16GB,21041,,,
Corsair CMSX64GX5M2A4800C40 32GB,21023,,,
Crucial Technology CT32G52C42S5.M16G1 32GB,21017,,,
Crucial Technology CT32G48C40S5.M16A1 32GB,21016,,,
A-DATA Technology AD5S480032G-B 32GB,20996,,,
Crucial Technology CT32G56C46U5.M16D1 32GB,20970,,,
A-DATA Technology AD5S56008G4-BHYA 8GB,20970,,,
SK Hynix HMCG78MEBSA092N 16GB,20945,,,
SK Hynix HMCG78MEBUA081N 16GB,20926,,,
G Skill Intl F5-6000U3636E16G 16GB,20923,,,
Crucial Technology CT8G48C40S5.M4A1 8GB,20915,,,
Corsair CMP96GX5M2B6400C32 48GB,20911,,,
Gold Key Technology Co Ltd NMUD516F81-6400F 16GB,20891,,,
Corsair CMK96GX5M2B5600C40 48GB,20852,,,
Kingston X1MGT9-HYM-A 32GB,20850,,,
SK Hynix HMCG78MEBAA092N 16GB,20841,,,
Corsair CMK32GX5M2E6200C36 16GB,20833,,,
Kingston 9905792-415.A00G 8GB,20775,,,
Essencore Limited KD5AGUA80-72B340G 16GB,20737,,,
Corsair CMH32GX5M2B6000C36 16GB,20709,,,
Kingston KF548S38-32 32GB,20708,,,
Apacer Technology GD2.45312H.002 16GB,20699,,,
Team Group Inc. UD5-6600 16GB,20697,,,
Kingston 9905782-018.A00G 32GB,20683,,,
SK Hynix HMCG66AGBUA081N 8GB,20644,,,
Thermaltake Technology Co Ltd RG33D516GX2-5600C36B 16GB,20628,,,
Mushkin MLX5C680BGGP16G 16GB,20622,,,
A-DATA Technology AD5S48008G-B 8GB,20616,,,
Kingston CBD48S40BS6MA-8 8GB,20612,,,
Essencore Limited KD5AGSA80-56G460A 16GB,20588,,,
G Skill Intl F5-4800S3434A16G 16GB,20518,,,
Samsung M324R4GA3BB0-CQKOD 32GB,20511,,,
King Tiger Technology KTQGS5TDF-H 32GB,20479,,,
Kingston 9905782-042.A00G 32GB,20475,,,
A-DATA Technology AD5U48008G-B 8GB,20469,,,
A-DATA Technology AO1W58VCSV1-BIAS 16GB,20468,,,
Corsair CMH48GX5M2B7200C36 24GB,20463,,,
Kingston CBD48S40BS8MA-16 16GB,20420,,,
G Skill Intl F5-5600S4645A16G 16GB,20399,,,
Crucial Technology CT32G48C40S5.C16A1 32GB,20393,,,
A-DATA Technology AD5S480016G-B 16GB,20376,,,
Crucial Technology CT32G48C40S5.M16D1 32GB,20375,,,
Corsair CMH96GX5M2B6800C40 48GB,20356,,,
Kimtigo Semiconductor (HK) Limited KTB900D5S8-16GB 16GB,20342,,,
Kingston 9905789-038.A00G 32GB,20313,,,
Golden Empire CL34-38-38 D5-5200 16GB,20301,,,
Corsair CMK5X16G1B56C40A2 16GB,20297,,,
V-Color Technology Inc. TMXSL1660836KWK 16GB,20250,,,
Corsair CM5S16GM4800A40N2 16GB,20245,,,
A-DATA Technology AX5U6400C3216G-BLABRWH 16GB,20238,,,
Kingston 9905789-039.A01G 32GB,20234,,,
Kingston ACR56S46BS8HA-16KM 16GB,20215,,,
SK Hynix HMCG66AGBUA084N 8GB,20213,,,
Transcend Information JM5600ALE-16G 16GB,20209,,,
Kingston HP52U40S8HM-16FRAE 16GB,20197,,,
A-DATA Technology AX5U5600C3616G-BLABK 16GB,20189,,,
Crucial Technology CT16G48C40S5.C8A1 16GB,20177,,,
Kingston 9905790-028.A01G 16GB,20145,,,
Corsair CMK32GX5M2A4800C40 16GB,20110,,,
Micron Technology MTC4C10163S1SC56BD1 8GB,20091,,,
Corsair CMK32GX5M2B6600C38 16GB,20024,,,
A-DATA Technology AD5S560016G8-BHYA 16GB,20000,,,
Corsair CMSX16GX5M2A4800C40 8GB,19971,,,
G Skill Intl F5-7600J3848F24G 24GB,19962,,,
Corsair CMK5S16G3B52C40A2 16GB,19951,,,
Samsung M323R2GA3BB0-CQKOL 16GB,19922,,,
Gold Key Technology Co Ltd NMSO532F82-5200J 32GB,19905,,,
G Skill Intl F5-4800S4039A32G 32GB,19887,,,
SK Hynix HMCG88AGBSA095N 32GB,19886,,,
Samsung M323R4GA3BB0-CQKOD 32GB,19839,,,
Corsair CMK96GX5M2B6800C40 48GB,19743,,,
A-DATA Technology AI1V56WC8W1-B1CS 8GB,19738,,,
G Skill Intl F5-4800S4039A16G 16GB,19719,,,
Corsair CMT5S16G3B60C40A2 16GB,19699,,,
G Skill Intl F5-5600J4040D32G 32GB,19685,,,
Kingston KF560S38-16 16GB,19667,,,
Avant Technology AVJ644GU44K6560P09-SPD7 32GB,19660,,,
Kingston 9905801-031.A00G 8GB,19656,,,
Kingston 9905790-098.A00G 16GB,19641,,,
Micron Technology MTC20C2085S1TC56BD1 32GB,19590,,,
Corsair CMSX16GX5M1A4800C40 16GB,19560,,,
Kingston 9905789-083.A00G 32GB,19545,,,
A-DATA Technology AX5U6000C4016G-BCARGY 16GB,19538,,,
Samsung M323R1GB4PB0-CWMOL 8GB,19524,,,
Corsair CMT5S32G3A48C40A2 32GB,19524,,,
Kingston X79DV1-HYM-A 16GB,19519,,,
G Skill Intl F5-5200U4040A16G 16GB,19517,,,
Corsair CMK5S16G3B56Z40A2 16GB,19516,,,
A-DATA Technology AX5U7200C3416G-DCLARBK 16GB,19501,,,
SK Hynix HMCG66AEBUA084N 8GB,19498,,,
Samsung M323R1GB4DB0-CWMOL 8GB,19493,,,
Crucial Technology CT32G56C46U5ES.M16B2 32GB,19473,,,
Corsair CMT32GX5M2X5600C36 16GB,19459,,,
Corsair CMH64GX5M4B5600C36 16GB,19456,,,
Micron Technology MTC8C1084S1UC56BD1 16GB,19385,,,
Corsair CMS5X16G1A56C48A2 16GB,19376,,,
Samsung M425R2GA3PB0-CWMOD 16GB,19375,,,
Mushkin MRA5S520HHHD32G 32GB,19369,,,
A-DATA Technology AO1V48UC8W1-BGIS 8GB,19362,,,
SK Hynix HMCG78AEBSA095N 16GB,19300,,,
Micron Technology MTC4C10163S1UC48BA1 8GB,19279,,,
Corsair CMK5S16G3B60C40A2 16GB,19248,,,
SK Hynix HMCG88MEBUA081N 32GB,19237,,,
Corsair CMH96GX5M4B6400C32 24GB,19235,,,
Wilk Elektronik S.A. GR4800S564L40S/16G 16GB,19231,,,
Lexar Co Limited LD5EU016G-64001A 16GB,19225,,,
SK Hynix HMCG78MEBEA081N 16GB,19201,,,
SK Hynix HMCG88AGBUA084N 32GB,19171,,,
"PNY Technologies, Inc. M5U08S66A48JJJ77-11 8GB",19149,,,
SK Hynix HMCG88AEBUA084N 32GB,19144,,,
Corsair CMP96GX5M4B6000C30 24GB,19144,,,
A-DATA Technology AX5U5200C3816G-DCLARWH 16GB,19109,,,
SK Hynix HMCG78AGBUA084N 16GB,19101,,,
Samsung M425R2GA3PB0-CWMOL 16GB,19096,,,
Mushkin MRA5S480FFFD32G 32GB,19079,,,
Corsair CM5S16G1M4800A40S2 16GB,19068,,,
Mushkin MRX5U600DDDM16G 16GB,19044,,,
Kingston 9905789-085.A00G 32GB,19034,,,
Kingston 9965794-043.A01G 32GB,18959,,,
SK Hynix HMCG88AEBUA081N 32GB,18958,,,
SK Hynix HMCG88AGBAA095N 32GB,18946,,,
Corsair CMK64GX5M2B6000C38 32GB,18926,,,
Samsung M425R4GA3BB0-CQKOL 32GB,18874,,,
Samsung M425R4GA3BB0-CWMOL 32GB,18845,,,
Transcend Information JM5600ASE-32G 32GB,18838,,,
SK Hynix HMCG88MEBSA092N 32GB,18838,,,
Kingston X1XJ4R-MIA-A 16GB,18809,,,
SK Hynix HMCG66AEBSA092N 8GB,18808,,,
Crucial Technology CT8G48C40U5T.M4A1 8GB,18786,,,
Kingston HP52U40S6HM-8FRAE 8GB,18747,,,
A-DATA Technology AX5U5200C3816G-SHTBK 16GB,18702,,,
Corsair CMS5X16G1A48C40A2-PCS 16GB,18701,,,
Lenovo 888046952 32GB,18665,,,
Avant Technology AVW642GU44K0480P00-SPA5 16GB,18656,,,
Kingston 9905789-044.A00G 32GB,18649,,,
Kingmax Semiconductor HLH2KK1-M28 16GB,18649,,,
Gold Key Technology Co Ltd NMUD516F81-5600E 16GB,18628,,,
Patriot Memory (PDP Systems) PSD516G480081S 16GB,18621,,,
Transcend Information JM4800ASE-16G 16GB,18595,,,
Avant Technology AVW644GU44K6560P04-HYA3 32GB,18569,,,
SK Hynix HMCG66AEBSA095N 8GB,18559,,,
G Skill Intl F5-6000U4040E16G 16GB,18548,,,
Corsair CMS5X32G2A48C40A2-PCS 32GB,18528,,,
Mushkin MRA5S480FGGD48G 48GB,18513,,,
SK Hynix HMCG88MEBSA095N 32GB,18487,,,
Hewlett-Packard 6H311AA# 32GB,18482,,,
Micron Technology MTC20C2085S1EC48BA1 BC 32GB,18473,,,
Samsung M425R4GA3BB0-CQKOD 32GB,18373,,,
Corsair CMK5X16G1B60C36A2 16GB,18341,,,
G Skill Intl F5-5600U3636C16G 16GB,18265,,,
Samsung M323R4GA3PB0-CWMOD 32GB,18251,,,
Thermaltake Technology Co Ltd RG34D516GX2-5600C36B 16GB,18216,,,
Kingston HP52U40S6HM-8FRA 8GB,18197,,,
Crucial Technology CB16GS4800.C8AT 16GB,18186,,,
Corsair CMT32GX5M2B5200C38 16GB,18184,,,
Corsair CMS5X32G2A48C40A2 32GB,18112,,,
SK Hynix HMCG78AEBUA084N 16GB,18044,,,
Samsung M425R4GA3BB0-CWMOD 32GB,18024,,,
Corsair CMH48GX5M2B6400C36 24GB,18015,,,
Gold Key Technology Co Ltd NMSO548H82-5600J 48GB,18002,,,
Micron Technology MTC4C10163S1UC48BA1 CF 8GB,17983,,,
Crucial Technology CB8GU4800.C8B 8GB,17979,,,
Corsair CMH32GX5M2X7000C36 16GB,17924,,,
Kingston ACR48S40BS6MA-8AM 8GB,17868,,,
SK Hynix HMCGY8MGBSB212N 48GB,17854,,,
Avant Technology AVJ646GUA1K6560P09-BAB3 48GB,17827,,,
Corsair CMK48GX5M2B6400C36 24GB,17821,,,
Samsung M323R2GA3PB0-CWMOD 16GB,17819,,,
SK Hynix HMCG88AGBEA081N 32GB,17815,,,
SK Hynix HMCG88AEBSA092N 32GB,17778,,,
Kingston 9905783-025.A01G 16GB,17777,,,
A-DATA Technology AX5U5200C3816G-BB10 16GB,17767,,,
Kingston CBD48U40BD8MA-32 32GB,17747,,,
Kingston 9905782-056.A00G 32GB,17745,,,
Corsair CMT32GX5M2X7800C36 16GB,17701,,,
Samsung M425R4GA3PB0-CWMOL 32GB,17664,,,
Kingston CBD48U40BS8MA-16 16GB,17646,,,
Samsung M323R1GB4BB0-CQKOL 8GB,17646,,,
Kingston HP52U40S6HM-8FAE 8GB,17629,,,
SK Hynix HMCG88MEBAA092N 32GB,17623,,,
Kingston 9905782-162.A00G 32GB,17550,,,
Corsair CMT5S16G3A48C40A2 16GB,17549,,,
SK Hynix HMCG78MEBUA084N 16GB,17542,,,
SK Hynix HMCG88MEBUA084N 32GB,17526,,,
A-DATA Technology AO2V48UCSV1-BHMS 16GB,17467,,,
SK Hynix HMCG66MEBUA081N 8GB,17449,,,
Mushkin MRX5U560LKKD48G 48GB,17426,,,
SK Hynix HMCG78AGBAA095N 16GB,17381,,,
Micron Technology MTC8C1084S1UC48BA1 BC 16GB,17315,,,
Kingston ACR48U40BS6MA-8FAM 8GB,17308,,,
Corsair CM5S32GM4800A40N2 32GB,17300,,,
A-DATA Technology AO1V48UCSV1-BGNS 16GB,17273,,,
Samsung M323R2GA3BB0-CQKOD 16GB,17231,,,
Corsair CMH48GX5M2B5600C40 20GB,17226,,,
Samsung M324R2GA3BB0-CQKOD 16GB,17152,,,
Kingston HP52U40S8HM-16FRA 16GB,17105,,,
Avant Technology AVW642GU44K0480P00-BAA4 16GB,16888,,,
A-DATA Technology AI1V56WC8W1-B1DS 8GB,16867,,,
Kingston 9905792-109.A00G 8GB,16748,,,
Samsung M323R1GB4BB0-CQKOD 8GB,16746,,,
Asgard VAM5UX52C40AG-CFRES 16GB,16690,,,
A-DATA Technology AO2V48UC8W1-BHLS 8GB,16625,,,
Kingston LV48U40BS8MA-16FIM 16GB,16600,,,
Advantech Co Ltd SQR-SD5I32G5K6SNPB 32GB,16596,,,
SK Hynix HMCG66MEBUA084N 8GB,16486,,,
Kingston 9905792-015.A00G 8GB,16385,,,
Kingston 9905783-157.A00G 16GB,16332,,,
Kingston 9965808-021.A00G 32GB,16318,,,
SK Hynix HMCG78AGBEA081N 16GB,16209,,,
Micron Technology MTC10C1084S1EC48BA1 BF 16GB,16014,,,
Corsair CMH192GX5M4B5200C38 48GB,15886,,,
Kingston 9905789-068.A00G 32GB,15883,,,
Apacer Technology GD2.42312H.00A 16GB,15131,,,
Kingston 9905801-036.A00G 8GB,15058,,,
Golden Empire CL38-40-40 D5-6000 16GB,14796,,,
Kingston 9905790-068.A00G 16GB,14696,,,
Corsair CMTS16GM4800A40T2 16GB,14685,,,
Ramaxel Technology RMSB3400KB06IVF-4800 12GB,14493,,,
Corsair CM5S16GM4800A40K2 16GB,13360,,,
