Card,Price ($),FPS,VRAM (GB),TDP,Power Efficiency (FPS/W),Price Efficiency (FPS/$),Average Efficiency,URL
GeForce GTX 970,30.00,26.5,4,145,0.1828,0.8833,0.5331,https://www.ebay.com/itm/EVGA-GeForce-GTX-970-4-GB-PCIe-X16-Graphics-Card-/375550875756
Radeon RX Vega 64,89.95,56.7,8,295,0.1922,0.6304,0.4113,https://www.ebay.com/itm/MSI-Radeon-RX-Vega-56-Flashed-64-New-Liquid-Metals-Paste-And-Pads-/126545303497
Radeon RX Vega 56,79.00,50.6,8,210,0.2410,0.6405,0.4407,https://www.ebay.com/itm/AMD-PowerColor-Radeon-Red-Dragon-RX-Vega-56-8GB-Graphics-Card-8GBHBM2-2D2HD-OC-/296550250075
GeForce GTX 1650,39.99,27,4,75,0.3600,0.6752,0.5176,https://www.ebay.com/itm/MSI-GeForce-GTX-1650-VENTUS-XS-OC-4GB-GDDR6-Graphics-Card-/276452984647
Radeon RX 5700,96.99,64.5,8,180,0.3583,0.6650,0.5117,https://www.ebay.com/itm/AMD-Sapphire-Pulse-Radeon-RX-5700-XT-8GB-299-1E411-002SA-/126573527137
GeForce GTX 1080,59.00,53,8,180,0.2944,0.8983,0.5963,https://www.ebay.com/itm/MSI-NVIDIA-GeForce-GTX-1050-Ti-4GB-GDDR5-Graphics-1080p-High-Performance-Gaming-/126593377647
Radeon RX 580 8GB,45.00,35.3,8,185,0.1908,0.7844,0.4876,https://www.ebay.com/itm/MSI-Radeon-Armor-RX-580-4GB-GDDR5-Graphics-Card-RX-580-ARMOR-4G-OC-/395552300932
Radeon RX 5700 XT,115.00,73.3,8,225,0.3258,0.6374,0.4816,https://www.ebay.com/itm/Radeon-5700-Gpu-Used-Condition-/395536802381
GeForce GTX 980,45.00,28.9,4,165,0.1752,0.6422,0.4087,https://www.ebay.com/itm/GeForce-GTX-980-Gigabyte-GAMING-4GD-NVIDIA-GeForce-GTX-980-G1-4GB-/235611142671
GeForce GTX 1070 Ti,89.00,51.1,8,180,0.2839,0.5742,0.4291,https://www.ebay.com/itm/MSI-NVIDIA-GeForce-GTX-1070Ti-AERO-8GB-GDDR5-Graphics-Video-Card-DP-DVI-HDMI-/176431061485
Radeon RX 5600 XT,96.99,57.8,8,160,0.3612,0.5959,0.4786,https://www.ebay.com/itm/Sapphire-PULSE-Radeon-RX-5600-XT-6GB-GDDR6-Graphics-Card-/126312887836
GeForce RTX 2060 Super,109.99,65.5,8,175,0.3743,0.5955,0.4849,https://www.ebay.com/itm/MSI-GeForce-GTX-1660-SUPER-VENTUS-XS-C-OC-6GB-GDDR6-Graphics-Card-/126120934733
GeForce RTX 2080 Super,149.99,86,8,250,0.3440,0.5734,0.4587,https://www.ebay.com/itm/PNY-GeForce-RTX-2080-Super-8GB-GDDR6-Video-Graphics-Card-no-plate-/256507805699
Radeon RX 590,59.99,39.3,8,225,0.1747,0.6551,0.4149,https://www.ebay.com/itm/750W-Gaming-PC-Power-Supply-Radeon-RX550-RX560-RX570-RX580-RX590-GTX-1050-PS-/274513951500
GeForce GTX 1660 Super,85.00,46.8,6,125,0.3744,0.5506,0.4625,https://www.ebay.com/itm/ZOTAC-Gaming-GeForce-GTX-1660-6GB-GDDR5-Graphics-Card-/405117947074
Radeon R9 390,55.00,29.8,8,275,0.1084,0.5418,0.3251,https://www.ebay.com/itm/GIGABYTE-AMD-Radeon-R9-390-8GB-GDDR5-Graphics-Card-GVR939G1-/115926031654
GeForce GTX 1660,74.99,42.6,6,120,0.3550,0.5681,0.4616,https://www.ebay.com/itm/MSI-GeForce-GTX-1650-GPU-4GB-/326211374871
